# Niveau de chaque lieu tel que le curateur l'a vu à sa dernière revue.
#
# Le niveau d'un lieu n'est pas une propriété du lieu : c'est son rang dans sa
# collection. Ajouter un signal au score, ou seulement collecter dix lieux de
# plus, peut donc faire descendre un lieu qu'on avait validé — sans que rien ne
# le dise.
#
# Ce fichier est la photographie du dernier état VU. `build` compare et signale
# les écarts ; `apply-review` la met à jour, parce que c'est le moment où le
# curateur a regardé.
#
wikidata_id,tier,theme,name
Q1426967,2,monuments,Église Santa Maria della Spina
Q1429352,3,monuments,Teatro Massimo Vincenzo Bellini
Q1432181,2,lacs,Lac de Tovel
Q1433207,3,cathedrales,Cathédrale d'Assise
Q14379,1,lacs,Lac Majeur
Q1439180,3,megalithes,Forum Clodii
Q14418,1,lacs,Lac de Lugano
Q1446018,3,megalithes,Isola Sacra
Q1448870,3,cathedrales,Sanctuaire Saint-Michel-Archange
Q1449217,2,monuments,Baptistère des Ariens
Q1449273,3,sommets,Mont Novegno
Q145093,1,monuments,Palais du Vatican
Q1453465,3,monuments,Teatro lirico di Cagliari
Q14552418,1,abbayes,Sanctuaire de l'Averne
Q1458838,3,monuments,Palais des Éléphants
Q1459750,2,maisons,Palais Biscari
Q1460456,3,iles,Île de Garde
Q1464074,3,sommets,Monte Fasce
Q1465674,2,cathedrales,Église Saint-Ignace-de-Loyola de Rome
Q1466491,3,iles,Palmarola
Q1467712,2,lacs,Lac de Mergozzo
Q1467793,3,iles,Gavi
Q1468844,2,sommets,Monte Zoncolan
Q146988,3,iles,Zannone
Q1471556,3,megalithes,Telesia
Q1473825,2,monuments,Palais des Normands
Q1474759,3,megalithes,Puits sacré de Funtana Coberta
Q1475787,2,lacs,Lac de Levico
Q1475948,3,cathedrales,Église Santa Maria della Pieve
Q1477572,3,monuments,Théâtre romain de Vérone
Q1478356,3,monuments,Teatro Politeama
Q1478407,2,cathedrales,Cathédrale de Palerme
Q1478747,2,sommets,Monte Bondone
Q1479762,3,sommets,Mont Conero
Q1481385,3,sommets,Matajur
Q1492387,3,musees,Galerie Nationale d'Art Moderne et Contemporain
Q1492476,3,iles,Île Gallinara
Q1499188,3,cathedrales,Cathédrale Sainte-Agathe de Catane
Q150066,2,musees,Pinacothèque de Brera
Q1501051,1,grottes,Grotte de Neptune
Q1502242,3,abbayes,Abbaye de Lucedio
Q1502960,2,lacs,Lac de Mezzola
Q15057316,3,musees,Museo delle Scienze
Q1509102,3,monuments,Arc de Trajan d'Ancône
Q15124814,1,piazzas,Piazza di Spagna
Q1514006,2,maisons,Palais royal de Gênes
Q1515769,3,sommets,Monte Maggiorasca
Q1516590,2,maisons,Villa Olmo
Q1516637,3,iles,Île de Bergeggi
Q1516713,2,sommets,Monte Saccarello
Q1522771,3,jardins,Jardin anglais
Q1523719,3,villages,Giglio Castello
Q15271,2,sommets,Monte Generoso
