decision,curator_note,theme_id,name,wikidata_id
drop,,,"Massacre des Fosses ardéatines",Q638761
keep,,,"Palais des papes de Castel Gandolfo",Q2739100
keep,,,"Cimetière monumental de Milan",Q608405
keep,,,"Palais Madame",Q19826
keep,,,"Torre Ghirlandina",Q569767
keep,,,"Palazzo Ducale",Q2047566
keep,,ponts,"Aqueduc Carolino",Q841554
keep,,,"Ca' Foscari",Q957551
keep,,,"Teatro Massimo Vittorio Emanuele",Q261439
keep,,,"Palais Dario",Q52629
keep,,,"Palazzo Pubblico",Q1190961
drop,,,"Palazzo dell'Arengario",Q1107168
keep,,musees,"Palazzo della Ragione de Padoue",Q2517428
keep,,,"Teatro Verdi",Q2294135
keep,,,"Palazzo Rosso",Q2034331
keep,,,"Musée national du Bargello",Q388448
keep,,,"Galeries de l'Académie",Q338330
keep,,,"Pinacothèque de Brera",Q150066
keep,,,"Musée national romain",Q1135392
keep,,,"Domus aurea",Q622438
keep,,,"Villa Farnesina",Q1126723
keep,,,"Museo dell'Opera del Duomo",Q1200696
keep,,,"Palais royal de Naples",Q426339
keep,,,"Autel de la paix d'Auguste",Q623612
keep,,,"Mole Antonelliana",Q201902
keep,,,"Palais de la Seigneurie",Q271928
keep,,,"Palais ducal de Mantoue",Q1635704
keep,,,"Collection Peggy-Guggenheim",Q1049033
keep,,,"Chapelle Brancacci",Q1996075
keep,,,"Triennale de Milan",Q2705493
keep,,,"Jardin des Tarots",Q949846
keep,,,"MAXXI - Musée national des arts du XXIe siècle",Q1881229
keep,,,"Ca' Rezzonico",Q1052171
keep,,,"Galerie Doria-Pamphilj",Q1203458
keep,,,"Museo del Novecento",Q261233
keep,,,"Musée Galilée",Q1668196
keep,,,"Académie Carrara",Q338367
keep,,,"Scuola Grande de San Rocco",Q1270723
drop,,,"Sybaris",Q220583
demote,,,"Phare du Mont Circé",Q259658
demote,,,"Phare de Livourne",Q3739193
demote,,,"Phare de San Benedetto del Tronto",Q28376417
keep,,,"Piazza della Signoria",Q849846
keep,,,"Piazza del Campo",Q1061229
keep,,,"Piazza Bra",Q1056360
keep,,,"Piazza del Duomo",Q51108
keep,,,"Piazza dell'Unità d'Italia",Q1645600
keep,,,"Quattro Canti",Q1665695
keep,,,"Piazza Maggiore",Q634917
keep,,,"Piazza del Duomo",Q2252810
keep,,,"Piazza delle Erbe",Q2717102
keep,,,"Place de l'Amphithéâtre",Q1067038
keep,,,"Piazza dei Cavalieri",Q1784719
keep,,,"Piazza Dante",Q926401
keep,,,"Piazza Grande",Q2718057
keep,,,"Piazza Santo Stefano",Q2091949
keep,,,"Piazza della Repubblica",Q1283790
keep,,,"Piazza Pretoria",Q972315
keep,,,"Piazza del Popolo",Q1102867
keep,,,"Place Émile Chanoux",Q3390745
keep,,,"Piazza della Santissima Annunziata",Q866192
keep,,,"Piazza San Carlo",Q3902294
keep,,,"Cap Carbonara",Q921014
demote,,,"Viaduc Gênes-Saint-Georges",Q84709324
keep,,,"Pont des Flèches",Q1268698
keep,,,"Ponte Coperto",Q1053846
keep,,,"Ponte Vecchio",Q608492
demote,,,"Mont Albain",Q1129380
demote,,,"Aspromonte",Q303853
keep,,,"Mont Cimone",Q1945818
keep,,,"Monte Generoso",Q15271
keep,,,"Punta La Marmora",Q385753
keep,,,"Monte Limbara",Q1945873
keep,,,"Mont Musinè",Q3861770
keep,,,"Monte Piana",Q872637
keep,,,"Mottarone",Q926621
keep,,,"Paganella",Q2046117
keep,,,"Mont Falterona",Q749841
keep,,,"Pietra di Bismantova",Q510076
keep,,,"Monte Vettore",Q2417486
keep,,,"Monte Bondone",Q1478747
keep,,,"Pasubio",Q699575
keep,,,"Mont Pisanino",Q1945906
keep,,,"Mont Cusna",Q2641550
keep,,,"Mont Algide",Q989650
keep,,,"Monte Elmo",Q501212
keep,,,"Monte Saccarello",Q1516713
keep,,,"Mont Somma",Q729873
demote,,,"Badia de Florence",Q799026
demote,,,"Abbaye Santa Maria Arabona",Q1774956
keep,,,"Abbaye de Marienberg",Q334022
keep,,,"Abbaye de Vallombrosa",Q971123
demote,,,"Abbaye Saint-Vincent du Volturne",Q2425141
keep,,,"Monastère de Saint Nicolas l'Arène",Q488863
keep,,,"Abbaye de Sant'Antimo",Q334276
keep,,,"Basilique Santa Maria della Salute de Venise",Q52531
keep,,,"Cathédrale de Cefalù",Q1354756
demote,,,"Forteresse de Fortezza",Q212164
demote,,,"Château de Canossa",Q1033649
keep,,,"Château de Moncalieri",Q19850
keep,,,"Forteresse de San Leo",Q1753598
keep,,,"Château du Valentino",Q19830
keep,,,"Trois tours de Saint-Marin",Q2287080
keep,,,"Château d'Aci",Q2968035
keep,,,"Château de Santa Severina",Q30889812
demote,,,"Île de Gorgone",Q19347
demote,,,"Ventotene",Q1085906
demote,,,"Jardin Botanique de l'Université de Pavie",Q1765144
demote,,,"Lac de Viverone",Q1800441
demote,,,"Lac de Vico",Q1246006
demote,,,"Lac de Lesina",Q1129358
demote,,,"Lac de Lei",Q656674
demote,,,"Lac Lucrin",Q432545
demote,,,"Lac de Varano",Q511180
demote,,,"Lac de Fedaia",Q1399844
demote,,,"Lac de Cei",Q1052694
demote,,,"Lac de Dobbiaco",Q2438157
demote,,,"Lac de Caldaro",Q252074
demote,,,"Lago del Salto",Q3825859
demote,,,"Lac Omodeo",Q878556
