wikidata_id,theme_id,note,nom,departement,osm_id,horaires,tarif,site_web,lat,lon
Q53673070,musees,Museo Regionale Etnografico e della Stregoneria,Museo Regionale Etnografico e della Stregoneria,008,way/201495985,"Apr 01-Jun 30: Mo-Fr 15:00-18:30; Sa, Su, PH 10:30-12:00, 15:00-18:30; Jul 01-Sep 30: Mo-Su, PH 10:30-12:00, 15:00-18:30; Oct 01-Mar 31: Mo-Fr 14:30-18:00; Sa, Su, PH 10:30-12:00, 14:30-18:00",yes,https://www.museotriora.it/,43.992868,7.765461
Q3867631,musees,Museo Pietro Micca,Museo Pietro Micca,001,way/435784636,Tu-Su 10:00 -18:00; Mo off,yes,https://www.museopietromicca.it/,45.072057,7.668525
Q55677851,musees,Museo Nazionale della Preistoria della Valle Camonica,Museo Nazionale della Preistoria della Valle Camonica,017,node/6447660497,Tu 09:00-13:00; We-Su 14:00-18:00; Mo off,yes,https://www.mupre.capodiponte.beniculturali.it/index.php?it/1/home,46.030472,10.344166
Q21153574,musees,Museo Nazionale Atestino,Museo Nazionale Atestino,028,way/44167244,Mo-Su 08:30-19:30,yes,http://www.atestino.beniculturali.it/,45.229551,11.656426
Q48804666,musees,Museo Meina,Museo Meina,003,node/5046800533,Sa-Su 16:00-19:00,yes,https://www.museomeina.it,45.780943,8.541319
Q73488929,musees,Museo Leonardo da Vinci e Archimede,Museo Leonardo da Vinci e Archimede,089,node/5066377320,Mo-Su 10:30-19:00,yes,https://www.archimededisiracusa.it/,37.062941,15.294326
Q55376949,musees,Museo Internazionale del Design Ceramico - MIDeC,Museo Internazionale del Design Ceramico - MIDeC,012,node/11118253846,"Tu-Th 10:00-12:30; Oct 01-Jun 30 Fr 10:00-12:30,14:00-17:00; Jul 01-Sep 30 Fr-Sa 15:00-21:45; Oct 01-Jun 30 Sa-Su 10:00-13:00,14:00-17:00; Jul 01-Sep 30 Su 10:00-13:00,14:30-19:00; Mo closed; PH closed",yes,https://midec.org/,45.897963,8.596683
Q3867905,musees,Museo Internazionale dei Tarocchi,Museo Internazionale dei Tarocchi,037,node/10992275738,"Apr 01-Nov 30 ""by appointment""",yes,https://www.museodeitarocchi.com/,44.230444,11.063034
Q55376600,musees,Museo Interattivo del Cinema,Museo Interattivo del Cinema,015,node/2521648565,Fr-Su 15:00-20:30; Tu-Th 15:00-19:00; Mo off; PH off,yes,https://www.cinetecamilano.it/attivita/visita-il-mic,45.513567,9.204017
Q112174202,musees,Museo Hemingway e della Grande Guerra,Museo Hemingway e della Grande Guerra,024,node/6824884157,"We-Su 10:00-13:00,15:00-18:00; Jan 01,Dec 24,Dec 25 off",yes,https://www.museohemingway.it/ita/,45.777808,11.731568
Q27992861,musees,Museo Grotte di Catullo,Museo Grotte di Catullo,017,way/124113631,"Mo 08:30-14:00, Tu-Sa 08:30-19:30, Su 10:00-19:30; Jan 01 off; Dec 25 off",yes,https://museilombardia.cultura.gov.it/musei/grotte-di-catullo-e-museo-archeologico-di-sirmione/,45.500237,10.605926
Q55686005,musees,Museo Giacomo Manzù,Museo Giacomo Manzù,058,node/7172234527,"Tu-Su 09:00-19:00; Mo, Jan 1, Dec 25 off",no,https://www.polomusealelazio.beniculturali.it/index.php?it/247/museo-giacomo-manz,41.607996,12.541241
Q98951041,musees,Museo Ferroviario di Suno,Museo Ferroviario di Suno,003,node/7883529341,Sa[1],no,http://www.museoferroviariosuno.it,45.620497,8.519405
Q55375982,musees,Museo Etnografico e Naturalistico Val Sanagra,Museo Etnografico e Naturalistico Val Sanagra,013,node/1209741522,"Jan-Dec Su[-1] 10:00-12:30,14:30-17:30; May-Sep Su[2] 10:00-12:30,14:30-17:30",no,https://www.museovalsanagra.it,46.030884,9.207903
