# Niveau de chaque lieu tel que le curateur l'a vu à sa dernière revue.
#
# Le niveau d'un lieu n'est pas une propriété du lieu : c'est son rang dans sa
# collection. Ajouter un signal au score, ou seulement collecter dix lieux de
# plus, peut donc faire descendre un lieu qu'on avait validé — sans que rien ne
# le dise.
#
# Ce fichier est la photographie du dernier état VU. `build` compare et signale
# les écarts ; `apply-review` la met à jour, parce que c'est le moment où le
# curateur a regardé.
#
wikidata_id,tier,theme,name
Q15940146,3,chateaux,Château de Boulogne-sur-Mer
Q15940508,3,chateaux,Château de Virieu
Q15944317,3,chateaux,Château de Thorey-Lyautey
Q15944355,3,maisons,Château de Labastide-Murat
Q15948600,3,megalithes,Dolmen de la Grotte aux Fées
Q1595270,1,forets,Forêt de Haguenau
Q15952779,2,abbayes,Tour-monastère de l'abbaye de Lérins
Q15952870,3,musees,Musée lapidaire d'Avignon
Q15953040,3,ponts,Pont-vieux de Nérac
Q15972919,2,jardins,Jardin Jungle Karlostachys
Q16034352,3,maisons,Maison de Nicéphore Niépce
Q1604334,3,ponts,Pont de la Basse-Chaîne
Q1607765,2,musees,"Lille Métropole Musée d'Art moderne, d'Art contemporain et d'Art brut"
Q1609139,3,lacs,Lac des Bouillouses
Q1613242,3,maisons,"Le Clos Arsène Lupin, Maison Maurice Leblanc"
Q1617779,3,megalithes,Alignements de Kerzérho
Q161787,3,chateaux,Château de Champs-sur-Marne
Q1619084,2,monuments,Palais Longchamp
Q1619525,1,rochers,Pointe Percée
Q1619770,3,sommets,Pointe d'Arcalod
Q1620783,2,musees,Historial de la Grande Guerre
Q1621256,3,ponts,Pont de l'Alma
Q1624140,2,sommets,Hohneck
Q1626747,3,chateaux,Château de Meudon
Q16303814,3,maisons,Maison d'artiste de la Grande Vigne
Q16303824,3,maisons,Maison familiale d'Henri Matisse
Q16303828,3,maisons,Maison Ravier
Q1632912,3,musees,Musée Galliera
Q16335747,3,musees,Musée Muséum départemental des Hautes-Alpes
Q1636244,2,cathedrales,Cathédrale Notre-Dame de Bayeux
Q1638606,1,phares,Phare de Saint-Mathieu
Q1639005,2,phares,Phare de l'Île Vierge
Q1643144,3,monuments,Hôtel de Sully
Q1643799,2,grottes,Grotte de Pair-non-Pair
Q1643811,2,grottes,Grotte de la Mairie
Q1645281,3,sommets,Mont de Grange
Q1646064,3,abbayes,Abbaye de Clermont
Q1648101,3,chateaux,Château de Brézé
Q1648124,3,sommets,Mont Trelod
Q1648147,3,sommets,Mourre Nègre
Q1650661,3,chateaux,Château de Combourg
Q16507207,3,plages,Cap des Mèdes
Q16507528,3,megalithes,Condate Riedonum
Q16508156,2,gorges,Gorges de la Balme
Q16508196,1,gorges,Grands Goulets
Q16510070,3,jardins,Petite Ceinture du 16e
Q16510457,3,rochers,Pont Sarrazin
Q16511507,3,plages,Tahiti plage
Q16531059,3,sommets,Ballon Saint-Antoine
Q16536395,1,cascades,Cascade de l'Arpenaz
Q1658544,2,iles,Île de Port-Cros
Q1658766,3,cathedrales,Cathédrale Saint-Jean-Baptiste d'Aire
Q1659709,3,cathedrales,Basilique Saint-Andoche de Saulieu
Q1659920,2,sommets,Le Semnoz
Q1661220,2,chateaux,Château de Val
Q16627473,1,cascades,Cascade d'Ars
Q16635952,3,sommets,Le Fayé
Q16639191,3,megalithes,Gisement du Martinet
Q1664416,3,musees,Musée du Petit Palais
Q1665255,3,maisons,Musée de l'atelier Rosa Bonheur
Q1666367,2,lacs,Lac Pavin
Q16665632,3,musees,Musée de la Loire
Q1671011,2,cathedrales,Cathédrale Notre-Dame-de-la-Treille
Q1671366,3,abbayes,Abbaye Saint-Jouin
Q16718,3,villages,Châteauneuf
Q167182,3,musees,Musée Georges-Labit
Q167248,3,musees,Musée départemental Thomas-Dobrée
Q1675088,3,cathedrales,Cathédrale Notre-Dame de Saint-Omer
Q167623,3,monuments,Chapelle Saint-Louis de la Salpêtrière
Q1676387,3,megalithes,Pierres Jaumâtres
Q167827,3,abbayes,Abbaye de Saint-Roman
Q167863,3,musees,Musée du quai Branly - Jacques-Chirac
Q16802261,3,dunes-marais,Étang de l'Estomac
Q1683459,3,jardins,Jardins du Trocadéro
Q1695413,3,maisons,Ancien hôtel de ville de Fort-de-France
